OBJECTID,rotacja,sym,sym_w,X,Y
281,90,3,15,565366.342700000037439,244888.905700000002980
282,271,3,29,565368.530900000012480,244888.091699999989942
283,275,4,24,565367.800200000056066,244887.341400000004796
284,346,3,19,565366.857300000032410,244886.025900000007823
285,168,2,29,565368.938199999975041,244885.615300000004936
286,20,1,30,565367.625699999975041,244883.393500000005588
287,45,1,15,565757.690599999972619,244624.141600000002654
288,318,3,28,565691.965300000039861,244678.122299999988172
289,77,4,20,564813.099200000055134,244935.003900000010617
290,253,4,19,564812.403599999961443,244930.910700000007637
291,23,1,20,564803.847300000023097,244936.453500000003260
292,67,4,22,564785.253299999982119,244953.318399999989197
293,105,1,28,564795.068699999945238,244960.299800000007963
294,28,2,20,564794.075799999991432,244969.086700000014389
295,158,4,30,564862.878299999982119,245027.698299999989104
296,25,2,15,565486.154199999989942,244681.105699999985518
297,270,1,18,565490.456000000005588,244679.692999999999302
298,25,3,21,565493.897499999962747,244674.847100000013597
299,115,1,28,565492.130899999989197,244670.000700000004144
300,22,4,22,565482.999799999990501,244677.978600000002189
301,91,1,20,565485.551800000015646,244674.144300000014482
302,267,3,23,565488.273099999991246,244669.730600000009872
303,354,4,20,565486.938599999994040,244666.646000000007916
304,337,3,16,565491.003999999957159,244665.768199999991339
305,266,3,28,565503.785499999998137,244656.383800000010524
306,53,2,17,565500.954499999992549,244657.224599999986822
307,308,3,24,565497.115899999975227,244658.748699999996461
308,74,4,26,565490.222700000042096,244661.609200000006240
309,326,1,28,566051.972199999960139,244633.151000000012573
310,187,3,29,566051.256799999973737,244631.580400000006193
311,164,4,20,566123.743200000026263,244602.671700000006240
312,34,4,22,566132.116999999969266,244599.971099999995204
313,45,3,16,566122.549200000008568,244598.439799999992829
314,56,2,17,564739.747399999992922,245103.168999999994412
315,149,4,17,564743.681899999966845,245102.302399999985937
316,249,3,16,564710.068899999954738,245069.028499999985797
317,120,3,17,566059.698899999959394,244481.374699999985751
318,122,1,29,564403.047799999942072,245136.981599999999162
319,219,4,26,564402.433300000033341,245140.155100000003586
320,68,4,17,564402.838499999954365,245143.207200000004377
321,154,3,21,564404.736200000043027,245144.176399999996647
322,213,3,30,564406.553199999965727,245143.818100000004051
323,175,1,26,564406.137499999953434,245138.692199999990407
324,352,1,22,564928.902299999957904,245057.322899999999208
325,288,3,18,564939.251300000003539,245058.245800000004238
326,198,2,30,564950.057999999960884,245051.843099999998230
327,243,4,20,564925.724700000020675,245044.510100000014063
